id,title,abstract
90,厦门市华达会展有限公司,
91,厦门市华达广告有限公司,设计;制作;发布;代理国内外广告业务;承接展览
92,厦门祥丹有进出口有限公司,经营各类商品和技术的进出口;保健食品批发;旅游管理服务;珠宝首饰零售;化妆品及卫生用品批发;化妆品及卫生用品零售;建材批发;涂料零售;五金零售;其他文化用品批发;其他文化用品零售;文具用品零售;文具用品批发
93,厦门富祥电子有限公司,加工;生产和销售电感器;瓷介电容器等电子元整件及其半成品
94,厦门镒美水产开发有限公司,水产品加工;鱼苗繁育
95,厦门稻香食品工业有限公司,蘑菇罐头;冰品的生产;加工
96,厦门浩铁机电设备有限公司,研发;销售;机电设备;五金交电;橡塑制品;电子产品;仪器仪表;制冷设备;家用电器;通讯设备;日用百货;化工材料;建筑材料;金属材料;汽车零配件
97,厦门东嘉电子有限公司,加工;销售电子产品;建筑材料;生产;加工限分支机构经营
98,厦门方都会展服务有限公司,会议及展览服务;其他未列明商务服务业;办公服务;商务信息咨询;教育咨询;其他未列明的专业咨询服务;教育辅助服务;其他未列明的教育服务
99,厦门市思明区厦港塑料厂,塑料制品
100,珠海市西区港联贸易有限公司厦门分公司,零售;钢材;水泥;建筑材料;五金交电;化工产品;饲料;日用百货;橡胶制品
101,厦门福安淇贸易有限公司,汽车零配件批发;汽车零配件零售;对第一产业;第二产业;第三产业的投资;投资管理;资产管理;单位后勤管理服务;商务信息咨询;企业管理咨询;市场管理;包装服务;五金产品批发;电气设备批发;软件及辅助设备批发;其他机械设备及电子产品批发;贸易代理;其他贸易经纪与代理;计算机;软件及辅助设备零售;...其他未列明的机械与设备租赁
102,厦门市炬晨贸易有限公司,批发零售润滑油;化工产品;办公用品;五金交电
103,福建省龙海市龙发贸易公司厦门建材经营部,办理本公司经厦物资的中转业务
104,厦门市普棋印务设计有限公司,纸制品;日用百货;工艺品;通信器材;电子产品
105,厦门市龙舟房地产建设发展有限公司物业管理分公司,房地产管理
106,厦门市思明区兰蒂小镇饮品店,其他饮料及冷饮服务;含甜品站
107,厦门亿展鸿途物业管理有限公司,物业管理;房地产开发经营;房地产中介服务;停车场管理;其他未列明房地产业;建筑物清洁服务;其他未列明清洁服务;提供机器;日用品;器具及设备的专业清洗;清扫;消毒服务;家庭服务;其他未列明居民服务业;受合法设立的餐饮企业委托对其进行管理;受合法设立的酒店企业委托对其进行管理;其他未列明企业管理服务;...土石方工程
108,厦门汇攀印务有限公司,包装装潢及其他印刷
109,厦门市思明区舒阳食杂店,预包装食品零售;乳制品;零售
110,厦门市思明区鑫发金属制品厂,金属制品;塑料制品;家俱
111,厦门市思明区新凌云饮食店,快餐;副食品
112,厦门市思明区壹拾壹号咖啡店,其他饮料及冷饮服务;含甜品站;小吃服务
113,厦门市思明区杨过食杂店,预包装食品零售
114,厦门昌驰企业有限公司南普陀路分公司,
115,厦门市思明区舒阳食品店,零售;预包装食品
116,厦门市思明区思明针织厂,针织服装
117,厦门好清捷自助洗衣服务有限公司,从事自助式洗衣服务
118,厦门墨池贸易有限公司,批发;零售;自行车零部件;体育用品;家居用品;纺织品;日用百货;工艺品;机械设备;电子产品;金属材料;橡胶制品;五金交电;化工材料;石材;建筑材料
119,厦门市思明区蓝国辉食杂店,其他未列明预包装食品零售;含冷藏冷冻食品
120,厦门市华达进出口有限公司,加工贸易;对销贸易;转口贸易业务;承接室内外装饰工程;批发零售装饰装修材料
121,厦门市思明区金华山皮件服装厂,皮革制品;服装
122,厦门市思明区响响食品加工厂,豆制品;面制品食品生产;销售
123,厦门市茗人堂电子商务有限公司,互联网销售;饮料及茶叶批发;酒;饮料及茶叶零售;其他未列明零售业
124,厦门华丽丝服饰有限公司,从事袜类;服装及服饰制品的生产;加工
125,厦门市思明区海仕家具厂,制造;加工;家具
126,皇腾软件科技（厦门）有限公司,从事软件开发;生产
127,厦门市思明区沈城小吃店,服务;小吃
128,厦门凡利服饰有限公司,批发;零售服装鞋帽;箱包;饰品;皮具;纺织品;家具;体育用品;化妆品;日用百货;经营各类商品和技术的进出口
129,厦门易乐鸿图商贸有限公司,批发零售;服装鞋帽;日用百货;箱包;饰品;工艺品;电子产品;经营各类商品和技术的进出口
130,厦门市思明区丘彩珍食杂店,零售;食杂;定型包装食品
131,祥亿（厦门）服饰有限公司,生产;加工服装;革皮服装;毛皮服装;毛皮鞣制品;羽毛;绒;制品
132,莫妲妮雅（厦门）服饰有限公司,从事服装;鞋帽;服饰;皮革制品及珠绣针织品的生产;加工及上述商品的批发;零售;进出口
133,厦门惟秀堂贸易有限公司,批发;零售服装鞋帽;化妆品;箱包;饰品;皮具;纺织品;家居用品;日用百货;经营各类商品和技术的进出口
134,厦门伟捷化工工程有限公司,从事化工工程相关技术咨询业务;环保业务咨询;化工工程配套机械设备及其配件的批发;进出口业务;以上商品进出口不涉及国营贸易;出口配额招标
135,厦门迅石信息科技有限公司,计算机信息系统工程;网络工程设计;网站建设;企业商贸信息咨询;计算机软硬件的研发;销售;经营各类商品和技术的进出口
136,厦门市思明区九天快餐店,服务;中餐
137,厦门市思明区詹秀丽食杂服务部,销售;定型包装食品
138,厦门市思明区龙海威制衣厂,服装
139,厦门高蒙贸易有限公司,批发;零售服装鞋帽;纺织品;玩具;工艺品;电子产品;仪器仪表;五金交电;家具;办公设备;文具用品;日用品;金属材料;橡胶制品;汽车配件;化工原料;经营各类商品和技术的进出口
140,厦门市思明区中山印刷包装厂,印刷;制板
141,厦门豪卓贸易有限公司,从事建筑材料;化工产品;家庭装饰品;工艺品的进出口;批发业务;以上商品进出口不涉及国营贸易;出口配额招标
142,美德耐（厦门）信息科技有限公司,软件开发;动画;漫画设计;制作;集成电路设计;信息系统集成服务;信息技术咨询服务;数字内容服务;其他未列明信息技术服务业;服装;化妆品;卫生用品;灯具;装饰用品;家用电器;其他家庭用品;文具用品;体育用品及器材;首饰;工艺品;收藏品;其他文化用品;第一类医疗器械的批发;进出口;以上商品不涉及国营贸易...按国家有关规定办理申请
143,厦门三合豪贸易有限公司,批发;零售工艺品;饰品;服装鞋帽;箱包;化妆品;日用百货;家居用品;皮具;玩具;花卉;纺织品;纸制品;电子产品;体育用品;五金交电;厨房卫生间用具;塑料制品;包装材料;建筑材料;化工原料;石制品;橡胶制品;机械设备;批发零售;农副产品;经营各类商品和技术的进出口
144,厦门高盟服饰开发有限公司,生产加工服装;鞋帽;服饰;皮革制品
145,厦门全源财贸易有限公司,从事纺织原料及纺织品;机械设备;电子产品;石材;化工产品;的进出口;批发;以上商品进出口不涉及国营贸易;出口配额招标
146,裕城坤（厦门）商贸有限公司,从事纺织原料及纺织品;机械设备;电子产品;石材;化工产品;的进出口;批发;以上商品进出口不涉及国营贸易;出口配额招标
147,厦门市思明区炳晟茗茶店,零售;茶叶;茶具
148,厦门市思明区徐大宝文具店,文具用品零售;其他未列明预包装食品零售;含冷藏冷冻食品;保健食品零售;图书;报刊零售;其他文化用品零售;旅客票务代理;体育用品及器材零售;其他日用品零售
149,厦门市景荣汇体育用品有限公司,体育用品及器材批发;文具用品批发;其他日用品零售;体育用品及器材零售;文具用品零售;其他文化用品零售;服装批发;鞋帽批发;服装零售;鞋帽零售;投资管理
150,厦门市黄盛体育文化有限公司,文具用品批发;体育用品及器材批发;首饰;工艺品及收藏品批发;其他文化用品批发;家用电器批发;其他家庭用品批发;服装批发;鞋帽批发;服装零售;鞋帽零售;投资管理
151,厦门市思明区侨中食杂店,零售;定型包装食品
152,厦门市钟鼓制冰厂（98.10吊销）,
153,厦门市烁亮广告有限公司,广告的设计;制作;代理;发布;包装服务;文具用品批发;体育用品及器材批发;其他文化用品批发;文具用品零售;体育用品及器材零售;其他文化用品零售;互联网接入及相关服务;其他互联网服务;数据处理和存储服务;数字内容服务
154,暖城（厦门）信息科技有限公司,信息技术咨询服务;其他互联网服务;其他未列明批发业;其他未列明商务服务业;文化;艺术活动策划;其他未列明文化艺术业
155,厦门能太贸易有限公司,保健食品批发;其他未列明预包装食品批发;保健食品零售;其他未列明预包装食品零售;服装批发;鞋帽批发;化妆品及卫生用品批发;计算机;软件及辅助设备批发;其他机械设备及电子产品批发;服装零售;鞋帽零售;化妆品及卫生用品零售;其他日用品零售;第一类医疗器械零售;第二类医疗器械零售;第一类医疗器械批发;...贸易代理
156,厦门鼓浪屿旅游投资集团有限公司,投资管理;资产管理;旅游管理服务;洗浴服务;林木育种;林木育苗;种子批发;其他综合零售;国内沿海旅客运输;内河旅客运输;互联网信息服务;文艺创作与表演;糕点;面包类预包装食品零售;酒;饮料及茶叶类散装食品批发;其他未列明散装食品零售;含冷藏冷冻食品;房地产开发经营;物业管理;自有房地产经营活动;...电气设备修理
